id,name,count,image,era,image_url
108,NF,2472,,2010s,https://pudding.cool/projects/vocabulary/assets/images/nf.png
109,Nicki Minaj,"4,162",,2010s,https://pudding.cool/projects/vocabulary/assets/images/nicki-minaj.png
110,Outkast,"5,212",,1990s,https://pudding.cool/projects/vocabulary/assets/images/outkast.png
111,Public Enemy,"4,481",,1990s,https://pudding.cool/projects/vocabulary/assets/images/public-enemy.png
112,Raekwon,"5,001",,1990s,https://pudding.cool/projects/vocabulary/assets/images/raekwon.png
113,Rakim,4621,,1980s,https://pudding.cool/projects/vocabulary/assets/images/rakim.png
114,Redman,"5,331",,1990s,https://pudding.cool/projects/vocabulary/assets/images/redman.png
115,Rick Ross,4233,,2000s,https://pudding.cool/projects/vocabulary/assets/images/rickross.png
116,Rittz,4757,,2010s,https://pudding.cool/projects/vocabulary/assets/images/rittz.png
117,The Roots,"5,803",,1990s,https://pudding.cool/projects/vocabulary/assets/images/roots.png
118,Royce da 5'9,"4,430",,2000s,https://pudding.cool/projects/vocabulary/assets/images/royce-da-5-9.png
119,Run-D.M.C.,"4,039",,1980s,https://pudding.cool/projects/vocabulary/assets/images/run-dmc.png
120,Russ,"3,491",,2010s,https://pudding.cool/projects/vocabulary/assets/images/russ.png
121,RZA,"5,905",,2000s,https://pudding.cool/projects/vocabulary/assets/images/rza.png
122,Sage Francis,6246,,2000s,https://pudding.cool/projects/vocabulary/assets/images/sage.png
123,Salt-n-Pepa,"3,612",,1990s,https://pudding.cool/projects/vocabulary/assets/images/salt-n-pepa.png
124,Scarface,"4,123",,1990s,https://pudding.cool/projects/vocabulary/assets/images/scarface.png
125,ScHoolboy Q,4097,,2010s,https://pudding.cool/projects/vocabulary/assets/images/schoolboy.png
126,Snoop Dogg,"3,974",,1990s,https://pudding.cool/projects/vocabulary/assets/images/snoop.png
127,$uicideboy$,"4,374",,2010s,https://pudding.cool/projects/vocabulary/assets/images/suicideboys.png
128,T.I.,"4,151",,2000s,https://pudding.cool/projects/vocabulary/assets/images/t-i-.png
129,Talib Kweli,"4,703",,2000s,https://pudding.cool/projects/vocabulary/assets/images/talib-kweli.png
130,Tech n9ne,"4,830",,2000s,https://pudding.cool/projects/vocabulary/assets/images/tech-nine.png
131,Three 6 Mafia,"4,225",,1990s,https://pudding.cool/projects/vocabulary/assets/images/three-six-mafia.png
132,Travis Scott,"3,392",,2010s,https://pudding.cool/projects/vocabulary/assets/images/travis-scott.png
133,A Tribe Called Quest,"4,635",,1990s,https://pudding.cool/projects/vocabulary/assets/images/tribe-called-quest.png
134,Trick Daddy,3750,,2000s,https://pudding.cool/projects/vocabulary/assets/images/trick.png
135,Trina,"3,537",,2000s,https://pudding.cool/projects/vocabulary/assets/images/trina.png
136,Twista,"4,705",,2000s,https://pudding.cool/projects/vocabulary/assets/images/twista.png
137,Tyga,"4,601",,2010s,https://pudding.cool/projects/vocabulary/assets/images/tyga.png
138,Tyler the Creator,"4,431",,2010s,https://pudding.cool/projects/vocabulary/assets/images/tyler.png
139,UGK,"4,011",,1990s,https://pudding.cool/projects/vocabulary/assets/images/ugk.png
140,Vince Staples,"3,883",,2010s,https://pudding.cool/projects/vocabulary/assets/images/vince.png
141,Wale,"4,896",,2010s,https://pudding.cool/projects/vocabulary/assets/images/wale.png
142,Watsky,5651,,2010s,https://pudding.cool/projects/vocabulary/assets/images/watsky.png
143,Wiz Khalifa,"3,707",,2010s,https://pudding.cool/projects/vocabulary/assets/images/wiz-khalifa.png
144,Wu-Tang Clan,"5,895",,1990s,https://pudding.cool/projects/vocabulary/assets/images/wu-tang.png
145,Xzibit,"4,982",,2000s,https://pudding.cool/projects/vocabulary/assets/images/xzibit.png
146,YG,3029,,2010s,https://pudding.cool/projects/vocabulary/assets/images/yg.png
147,YoungBoy Never Broke Again,2724,,2010s,https://pudding.cool/projects/vocabulary/assets/images/young-boy.png
148,Young Jeezy,"3,650",,2000s,https://pudding.cool/projects/vocabulary/assets/images/young-jeezy.png
149,Young Thug,3395,,2010s,https://pudding.cool/projects/vocabulary/assets/images/young-thug.png
